State,2010 Population,2011 Population,2012 Population ,2013 Population,2014 Population,2015 Population,2016 Population,2017 Population,2018 Population,2019 Population,2020 Population,2021 Population,2022 Population,2020 COVID-19 Deaths,2020 COVID-Like Deaths,2020 COVID Death Rate,2021 COVID-19 Deaths,2021 COVID-Like Deaths,2021 COVID Death Rate,2022 COVID-19 Deaths,2022 COVID-Like Deaths,2022 COVID Death Rate
Kansas,2853118,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,2937880,2934582,2937150,3510,5071,0.172607458,3806,5125,0.174641567,2366,3745,0.080554279
Kentucky,4339367,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,4505836,4509394,4512310,4619,8524,0.189176881,8694,12154,0.269526238,5616,9251,0.124459534
Louisiana,4533372,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,4657757,4624047,4590241,7066,9352,0.200783338,6918,8832,0.191001519,2978,4527,0.064876768
Maine,1328361,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,1362359,1372247,1385340,465,1417,0.104010764,1433,2288,0.166733831,1044,2005,0.075360561
Maryland,5773552,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,6177224,6165129,6164660,6729,10136,0.164086651,6101,9008,0.146112109,4257,7226,0.069054903
Massachusetts,6547629,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,7029917,6984723,6981974,10221,14227,0.202377923,5578,8534,0.122180937,4276,7487,0.061243425
Michigan,9883640,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,10077331,10050811,10034113,12342,18113,0.179740052,14945,19693,0.195934438,7746,12253,0.077196659
Minnesota,5303925,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,5706494,5707390,5717184,5834,8574,0.150249873,5181,7413,0.129884238,3309,5742,0.057878144
Mississippi,2967297,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2961279,2949965,2940057,5162,7599,0.256612092,5907,8118,0.275189706,3162,5468,0.107548935
Missouri,5988927,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,6154913,6168187,6177957,8059,11656,0.189377169,8946,12036,0.195130271,5317,8656,0.08606405
